STCTNAME,FIELD_NAME,API_CRUDE,SRC,CRN,SU100,POUR_POINT,CAR_CR_WT,LT_GAS_VOL,GAS_NP_VOL,RESDUM_VOL,TIPO_CRUDO,CLASE_AZUFRE
TEXAS,HOLLIDAY,37.2,0.41,0.0,39.0,5.0,0.0,13.4,38.2,17.5,Liviano,Dulce (sweet) < 0.5%S
TEXAS,PETROLIA,36.8,0.38,0.0,42.0,5.0,0.0,6.3,34.0,17.4,Liviano,Dulce (sweet) < 0.5%S
TEXAS,TEXHOMA,31.9,0.33,0.0,37.0,5.0,0.0,10.8,38.0,16.5,Liviano,Dulce (sweet) < 0.5%S
TEXAS,BURKBURNETT,36.8,0.39,0.0,38.0,5.0,0.0,10.1,36.7,18.0,Liviano,Dulce (sweet) < 0.5%S
TEXAS,ELECTRA,40.2,0.25,0.0,37.0,5.0,0.0,15.5,40.8,19.2,Liviano,Dulce (sweet) < 0.5%S
TEXAS,STRAWN,35.6,0.13,0.0,45.0,5.0,0.0,2.3,24.4,21.5,Liviano,Dulce (sweet) < 0.5%S
TEXAS,BRECKENRIDGE,36.2,0.28,0.0,40.0,5.0,0.0,5.1,30.0,20.9,Liviano,Dulce (sweet) < 0.5%S
TEXAS,CADDO,37.2,0.2,0.0,41.0,5.0,0.0,5.4,30.5,19.6,Liviano,Dulce (sweet) < 0.5%S
TEXAS,RANGER,37.0,0.17,0.0,40.0,5.0,0.0,5.4,30.2,19.5,Liviano,Dulce (sweet) < 0.5%S
TEXAS,YOUNG COUNTY,38.4,0.26,0.0,39.0,5.0,0.0,9.1,34.6,17.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,PUTNAM-MORAN,39.0,0.16,0.0,40.0,20.0,0.0,8.4,34.4,19.1,Liviano,Dulce (sweet) < 0.5%S
TEXAS,DESDEMONA,37.2,0.14,0.0,42.0,5.0,0.0,4.1,29.4,17.7,Liviano,Dulce (sweet) < 0.5%S
TEXAS,SANTA ANNA,39.4,0.16,0.0,54.0,5.0,0.0,0.0,15.3,27.5,Liviano,Dulce (sweet) < 0.5%S
TEXAS,BROWNWOOD,35.0,0.17,0.0,52.0,15.0,0.0,5.3,24.5,24.0,Liviano,Dulce (sweet) < 0.5%S
TEXAS,CORSICANA,34.0,0.24,0.0,50.0,20.0,0.0,0.0,19.7,23.6,Liviano,Dulce (sweet) < 0.5%S
TEXAS,MEXIA,35.6,0.19,0.0,46.0,20.0,0.0,0.0,17.3,16.8,Liviano,Dulce (sweet) < 0.5%S
TEXAS,THRALL,37.6,0.15,0.0,43.0,5.0,0.0,1.8,26.4,20.2,Liviano,Dulce (sweet) < 0.5%S
NEW YORK,ALLEGANY,40.9,0.15,0.0,0.0,0.0,0.0,7.9,30.5,25.0,Liviano,Dulce (sweet) < 0.5%S
NEW YORK,ALLEGANY,39.4,0.12,0.0,0.0,0.0,0.0,6.7,29.0,26.3,Liviano,Dulce (sweet) < 0.5%S
NEW YORK,ALLEGANY,43.6,0.13,0.0,0.0,0.0,0.0,10.7,32.2,20.9,Liviano,Dulce (sweet) < 0.5%S
NEW YORK,ALLEGANY,43.2,0.1,0.0,0.0,0.0,0.0,11.6,37.3,13.6,Liviano,Dulce (sweet) < 0.5%S
LOUISIANA,HOMER,36.2,0.63,0.0,46.0,5.0,0.0,7.6,30.2,23.9,Liviano,Agrio (sour) ≥ 0.5%S
LOUISIANA,BULL BAYOU,40.6,0.21,0.0,37.0,5.0,0.0,0.0,27.6,9.4,Liviano,Dulce (sweet) < 0.5%S
LOUISIANA,ELM GROVE,29.5,0.27,0.0,62.0,25.0,0.0,0.0,13.5,25.3,Mediano,Dulce (sweet) < 0.5%S
LOUISIANA,CADDO,35.0,0.25,0.0,45.0,25.0,0.0,9.4,25.7,22.3,Liviano,Dulce (sweet) < 0.5%S
LOUISIANA,CADDO,41.1,0.21,0.0,45.0,20.0,0.0,3.5,35.2,13.2,Liviano,Dulce (sweet) < 0.5%S
ARKANSAS,EL DORADO,34.6,0.83,0.0,47.0,5.0,0.0,8.7,30.7,28.4,Liviano,Agrio (sour) ≥ 0.5%S
ARKANSAS,EL DORADO,34.4,0.79,0.0,48.0,5.0,0.0,7.4,28.8,26.5,Liviano,Agrio (sour) ≥ 0.5%S
LOUISIANA,CADDO-PINE ISLAND,25.5,0.42,0.0,125.0,5.0,0.0,0.0,0.0,35.5,Mediano,Dulce (sweet) < 0.5%S
WYOMING,SALT CREEK,36.8,0.14,0.0,0.0,0.0,0.0,9.6,31.7,26.7,Liviano,Dulce (sweet) < 0.5%S
TEXAS,SARATOGA,18.4,0.78,0.0,0.0,0.0,0.0,0.0,1.7,38.8,Pesado,Agrio (sour) ≥ 0.5%S
OKLAHOMA,BIRD CREEK + TURLEY,31.5,0.23,0.0,54.0,5.0,0.0,3.4,20.1,25.4,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,BRISTOW,40.2,0.25,0.0,37.0,5.0,0.0,12.1,38.8,15.6,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,SLICK,30.2,0.44,0.0,66.0,5.0,0.0,7.4,22.9,33.1,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,KELLYVILLE,28.7,0.28,0.0,85.0,5.0,0.0,1.1,14.6,36.4,Mediano,Dulce (sweet) < 0.5%S
OKLAHOMA,BEGGS,39.0,0.15,0.0,40.0,5.0,0.0,6.0,29.9,26.2,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,GLENNPOOL,32.7,0.3,0.0,52.0,5.0,0.0,5.0,24.8,25.6,Liviano,Dulce (sweet) < 0.5%S
OKLAHOMA,MOUNDS,34.4,0.26,0.0,48.0,5.0,0.0,8.1,28.2,26.3,Liviano,Dulce (sweet) < 0.5%S
